日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间
3.69,0.0071,0.0214,2.3071,419.77,0.0258,20
178.7,0.004,0.0324,2.0489,157.94,0.003,19
91.77,0.0022,0.053,1.8771,357.93,0.0026,4
1.09,0.0074,0.3382,4.2426,364.07,0.0153,10
3.37,0.0028,0.174,2.1934,313.34,0.0007,30
0.95,0.0141,0.4155,4.2113,415.56,0.0276,2
3.3,0.0028,0.0852,1.7358,155.19,0.0007,4
11.91,0.0032,0.0539,2.3751,243.29,0.0032,4
49.21,0.0038,0.0448,2.3813,257.53,0.003,6
46.31,0.0044,0.0559,2.2621,231.91,0.0029,16
125.55,0.0021,0.013000000000000001,2.0766,238.87,0.0018,19
115.38,0.002,0.0184,2.0319,205.02,0.0018,8
12.71,0.0008,0.0188,2.0617,228.4,0.0024,21
0.74,0,0.0125,1.425,152.1,0,14
408.42,0.0015,0.0117,1.9114,172.92,0.0025,9
13.52,0.0021,0.0141,1.8211,176.53,0.0025,15
1.53,0.0128,0.0128,1.6603,222.31,0.0047,12
2.32,0,0.0042,1.9789,267.97,0,30
20.6,0.0009,0.013999999999999999,1.7237,245.72,0.0016,11
31.84,0.0015,0.0132,1.6553,227.03,0.0012,22
30.74,0.0031,0.0103,1.6126,273.09,0.0027,14
87.57,0.0014,0.0094,1.7953,170.74,0.0026,13
155.81,0.0016,0.0122,1.8087,165.21,0.0026,9
1.42,0,0.0133,1.5467,195.21,0.0017,19
471.3,0.0021,0.0115,1.7931,172.97,0.0026,30
397.16,0.002,0.0105,2.3973,244.97,0.0026,23
0.73,0,0.012,2.0843,266.12,0,18
56.99,0.0029,0.0124,1.8223,158.79,0.0024,5
2699.42,0.006,0.0799,3.8914,362.45,0.0089,18
1.26,0,0.0152,1.8485,103.7,0,12
0.97,0.0096,0.0288,2.1058,263.03,0.0025,25
51.47,0.0036,0.009000000000000001,1.4805,177.47,0.0041,29
396.72,0.0027,0.0091,1.5081,154.08,0.0031,27
120.11,0.0042,0.0095,1.4805,161.68,0.0034,27
162.44,0.0012,0.0094,1.6565,111.44,0.0013,23
18.11,0.0016,0.0065,1.8496,126.2,0.0024,30
3282.76,0.0024,0.0082,2.3239,247.37,0.0029,21
3.02,0,0.0062,2.3292,319.37,0.0063,18
2687.24,0.0037,0.009000000000000001,2.4957,244.23,0.0049,28
148.06,0.0063,0.0226,3.4601,346.18,0.0115,7
975.09,0.0044,0.0109,2.4405,221.94,0.0065,26
1.78,0.0053,0.0107,2.2299,258.69,0.004,23
1.02,0,0.019,1.9143,383.9,0,5
0.72,0,0,1.8182,452.26,0,13
1.41,0.0067,0.0201,1.7517,353.21,0,12
408.62,0.0033,0.0183,2.9112,300.89,0.0056,30
26,0.0041,0.0075,1.5792,224.96,0.0017,2
5.37,0.0018,0.018000000000000002,1.9928,181.93,0.0049,15
131.25,0.004,0.0082,2.0127,235.72,0.0072,6
1021.84,0.0012,0.0085,2.0031,191.94,0.0014,13
1.45,0,0,1.8649,183.42,0.0016,14
397.25,0.004,0.0174,2.7874,292.63,0.0029,8
158.33,0.0035,0.0138,2.5696,296.33,0.0023,1
1.34,0,0,1.3037,233.04,0,24
3.89,0.0024,0.0048,2.2153,448.55,0.0043,19
